team,matchday,standings,wins,goals,goal differential,points
VfL Wolfsburg,22,2,14,48,24,47
VfL Wolfsburg,23,2,15,53,26,50
VfL Wolfsburg,24,2,15,53,25,50
VfL Wolfsburg,25,2,16,56,28,53
VfL Wolfsburg,26,2,16,57,28,54
VfL Wolfsburg,27,2,17,60,30,57
VfL Wolfsburg,28,2,18,62,32,60
VfL Wolfsburg,29,2,18,63,32,61
VfL Wolfsburg,30,2,18,63,31,61
VfL Wolfsburg,31,2,18,65,31,62
VfL Wolfsburg,32,2,19,68,33,65
VfL Wolfsburg,33,2,20,70,34,68
VfL Wolfsburg,34,2,20,72,34,69
